"sex","pressure"
0,32.1
1,40.6
0,25.9
1,44
1,43.5
1,33.8
0,27.2
1,22.8
1,18.9
0,52.8
1,37.8
1,22.4
1,22.8
0,40.4
1,41.8
0,31.2
0,27.7
0,37.8
0,27.2
1,19.3
0,49.2
0,33.4
1,36.5
0,43.5
1,33.8
1,59.8
0,54.1
1,34.7
0,61.6
0,33
0,34.7
1,44.4
1,34.3
0,22.8
1,28.1
0,42.2
0,20.6
0,41.8
0,33.8
1,23.3
0,31.2
0,57.2
1,29.4
0,36.9
1,38.7
1,56.7
1,40.9
0,40.9
0,44.8
0,45.3
0,51
0,53.2
0,42.2
0,58.9
1,74.8
0,51.9
0,53.2
1,34.3
0,58.9
0,57.2
0,19.3
0,65.1
1,36.5
1,58.5
1,43.5
1,34.3
0,41.3
0,42.2
1,51.9
0,56.7
0,59.8
1,36.9
1,21.1
1,50.6
1,23.3
1,15.4
0,50.1
0,24.2
0,60.7
1,61.6
1,23.7
0,39.1
1,18
0,50.6
0,38.7
1,19.3
0,51.9
1,23.3
1,37.4
0,82.2
0,41.3
0,33.4
1,15.4
1,42.6
1,32.5
0,42.2
0,73.1
0,47
0,69
0,41.3
0,42.2
1,26.4
1,27.2
1,18.4
1,31.6
0,44.8
0,55.8
1,20.6
0,103
1,25.5
1,46.2
0,48.4
0,42.6
0,51.4
0,90.2
0,41.3
1,33.4
1,35.2
0,36.9
1,43.5
0,66.4
0,41.8
0,62.9
1,22.4
1,42.6
